Q1,Q2,Q3,Q4,Q5,Programme
32,7,3,12,4,1
32,7,10,12,12,2
16,0,2,0,1,3
28,0,0,0,0,2
20,0,10,0,16,3
22,0,10,0,2,3
26,1,10,0,2,4
24,6,10,5,0,2
24,6,10,3,6,3
18,0,0,2,0,1
16,5,6,5,6,3
30,7,10,12,0,1
30,7,10,16,20,3
26,7,10,4,12,3
34,5,10,8,20,3
36,5,10,18,20,3
36,2,10,20,6,3
38,10,10,14,20,3
22,7,10,0,8,3
16,0,0,0,4,2
32,4,10,18,8,1
36,5,10,18,4,1
38,5,10,20,14,3
24,0,10,0,8,2
26,2,10,6,12,3
12,0,0,0,4,1
26,2,10,0,20,3
38,5,10,12,12,3
18,0,2,0,4,1
18,0,10,0,0,2
22,0,10,0,4,2
30,5,10,12,0,3
36,5,10,16,8,3
26,7,10,18,2,3
28,7,10,10,10,3
18,1,10,0,0,1
24,0,10,0,4,2
30,10,10,2,8,3
32,7,10,20,20,3
20,0,0,0,0,1
22,0,10,4,4,3
24,1,10,3,12,2
30,0,0,0,16,4
20,0,5,0,0,2
32,7,10,14,15,3
14,1,6,2,1,1
26,0,10,0,2,3
8,7,7,0,4,3
8,0,0,0,0,2
18,0,10,1,20,2
30,1,10,20,10,3
26,1,2,3,0,2
26,0,0,0,0,2
32,2,10,4,8,1
36,5,10,14,4,1
26,3,3,2,2,1
34,1,10,0,16,1
24,0,8,0,0,1
6,0,0,0,6,0
8,0,10,0,0,0
34,5,10,2,8,2
28,7,10,20,8,2
32,7,10,20,12,4
24,1,10,20,8,2
34,0,5,6,4,2
36,7,10,4,16,1
36,4,10,5,0,1
20,1,10,4,0,1
26,4,10,0,0,1
24,7,10,6,0,1
20,6,0,2,0,1
36,0,0,0,0,2
28,5,6,12,12,2
36,5,7,16,20,2
22,1,10,2,6,4
26,7,3,0,16,1
26,2,0,0,0,1
12,1,10,0,0,1
28,0,10,2,0,2
24,5,10,8,18,2
38,6,10,16,12,2
24,7,10,17,20,2
28,5,4,10,20,4
32,2,10,17,16,1
22,1,10,7,8,2
30,0,10,8,0,1
24,1,10,4,1,1
28,1,10,0,16,2
20,0,10,17,4,2
20,10,10,0,0,1
30,10,10,4,8,2
30,1,10,10,4,2
26,0,10,2,20,2
36,8,10,2,1,4
22,5,10,2,8,2
34,1,10,4,4,2
28,6,10,20,4,2
34,5,10,6,4,2
38,5,10,20,12,2
20,1,0,0,8,2
30,1,10,12,20,4
30,5,10,12,12,2
28,10,10,4,20,2
24,5,10,4,20,2
26,10,10,6,4,2
30,2,10,2,4,1
32,0,10,4,16,2
20,4,10,0,4,2
28,10,10,2,20,2
34,7,0,6,12,2
28,0,10,8,0,2
28,0,9,2,4,2
30,0,10,8,8,2
16,1,0,0,4,2
24,7,0,20,20,2
20,0,10,0,10,0
32,7,10,6,20,2
32,7,10,14,12,2
38,10,10,17,20,2
28,1,0,4,17,1
32,7,10,0,16,2
40,5,7,15,20,4
34,7,10,2,4,2
20,0,2,0,12,4
38,1,10,15,12,2
24,7,10,0,16,2
22,7,10,2,20,2
24,1,10,0,7,2
34,7,2,10,4,1
32,1,10,3,12,2
30,0,10,0,16,4
22,1,2,2,6,2
26,5,10,4,8,2
34,5,10,4,20,4
30,5,10,18,12,2
24,5,10,0,20,4
24,0,0,18,6,4
34,2,10,0,12,2
38,7,10,2,20,2
30,5,2,4,10,2
28,10,10,3,20,2
26,0,10,0,0,0
36,7,10,2,4,2
28,7,10,8,20,4
30,7,10,14,12,2
36,10,10,9,20,2
32,1,10,9,18,2
30,5,10,14,10,2
32,8,10,16,12,2
32,1,10,2,2,4
36,5,10,20,12,2
38,5,10,8,10,2
32,5,0,5,10,2
32,3,10,7,20,2
30,1,10,14,12,2
24,6,7,2,4,2
32,3,10,2,4,2
34,10,10,16,20,2
24,7,10,2,4,1
20,1,10,2,2,2
24,5,10,4,8,2
32,6,10,3,8,2
26,10,10,2,12,1
32,5,10,2,20,2
26,5,7,4,12,4
28,5,10,7,16,2
24,7,10,15,16,2
24,3,10,4,20,2
24,10,10,5,12,1
14,0,3,0,8,1
26,5,10,10,0,1
28,5,10,4,8,2
28,0,10,0,20,2
26,1,10,18,8,1
30,7,10,18,16,2
16,1,10,0,14,2
32,4,6,2,20,2
38,10,10,6,20,2
22,1,10,0,4,1
26,1,10,2,4,1
26,0,10,2,0,2
26,5,6,16,4,1
36,1,10,2,20,2
36,1,10,0,16,2
30,1,10,17,6,2
24,2,6,0,18,1
34,2,10,17,12,2
28,5,10,4,6,1
18,1,0,0,2,1
26,1,10,0,0,1
18,1,6,0,8,2
18,1,2,0,0,1
22,7,10,4,4,1
20,2,10,0,4,1
22,0,10,2,12,1
40,3,10,20,20,2
30,1,10,6,20,1
32,6,10,6,16,1
32,10,10,16,20,2
12,0,2,2,1,0
20,7,0,0,0,1
14,0,10,0,2,1
28,7,0,0,0,1
12,6,2,0,0,4
30,1,10,0,10,4
26,0,10,5,2,1
32,0,10,6,12,2
36,6,10,18,20,2
30,6,10,4,4,2
32,10,10,0,20,2
28,7,0,0,8,1
24,10,10,8,20,4
30,10,10,6,8,1
32,0,0,2,4,1
30,1,10,15,8,2
28,3,10,2,8,1
30,0,10,9,6,2
20,0,0,0,8,2
22,5,6,10,0,4
14,0,3,0,4,2
26,5,10,2,5,2
34,7,10,10,12,2
8,1,3,0,0,1
36,5,7,6,10,2
18,7,10,3,0,1
14,0,0,2,0,1
14,2,10,2,4,2
18,7,10,10,4,4
14,7,9,0,6,2
24,1,6,0,12,1
22,4,10,0,6,1
28,7,10,14,10,2
30,8,10,2,12,2
34,1,0,2,6,1
32,1,10,4,16,2
16,3,10,2,4,2
30,7,6,2,2,1
30,7,10,6,0,1
22,7,10,3,0,1
26,2,0,0,16,1
18,7,0,2,20,1
34,0,10,20,20,1
24,1,10,3,10,1
32,10,10,5,0,1
26,1,10,15,5,2
22,1,10,19,6,1
20,6,10,12,0,1
28,0,10,0,0,1
28,7,10,9,8,1
36,2,10,8,4,1
